id,path,title,item_type,mime_type,size_bytes,modified_time,parent_id,url,inspection_status
"1JJ0pcX6GZkOTMhfED2SfyCZTmeD9dCdG","/2026/Assessment Information/Assessment Tasks/Assessment Task 2 - Plant Collection + Research Task/2026 Assessment Task 2 - Plant Collection + Research Task.docx","2026 Assessment Task 2 - Plant Collection + Research Task.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","24015","2026-01-28T00:53:31.000Z","1GZS5jDFLAFwhYtZIUegpD44vvyRwzGkm","https://docs.google.com/document/d/1JJ0pcX6GZkOTMhfED2SfyCZTmeD9dCdG/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1i4IpjFmHjjdgLN4vZ-fOkHbLbkHDhoYm","/2026/Assessment Information/Assessment Tasks/Assessment Task 2 - Plant Collection + Research Task/Assessment Task 2 - Plant Collection + Research Task REPORT.docx","Assessment Task 2 - Plant Collection + Research Task REPORT.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","15186","2026-01-28T00:53:33.000Z","1GZS5jDFLAFwhYtZIUegpD44vvyRwzGkm","https://docs.google.com/document/d/1i4IpjFmHjjdgLN4vZ-fOkHbLbkHDhoYm/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1x2hC7XSPgdY_SvLz_4JhT53jP7UDQnxb","/2026/Assessment Information/Assessment Tasks/Assessment Task 3 - Prime Lamb Production Report + Handling Skills","Assessment Task 3 - Prime Lamb Production Report + Handling Skills","folder","application/vnd.google-apps.folder","","2026-01-28T00:43:02.036Z","1N1Gy769_oMn6n9ZHgQoWI84SHKUzGpal","https://drive.google.com/drive/folders/1x2hC7XSPgdY_SvLz_4JhT53jP7UDQnxb","listed"
"1lgOjUr215X82ofccOmVqt66KpabLSQQF","/2026/Assessment Information/Assessment Tasks/Assessment Task 3 - Prime Lamb Production Report + Handling Skills/2026 Assessment Task 3 - Prime Lamb Production Report + Handling Skills.docx","2026 Assessment Task 3 - Prime Lamb Production Report + Handling Skills.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","26971","2026-01-28T00:57:25.000Z","1x2hC7XSPgdY_SvLz_4JhT53jP7UDQnxb","https://docs.google.com/document/d/1lgOjUr215X82ofccOmVqt66KpabLSQQF/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1rh8Tedl_c2XQ3-aw0KqpOBCWfmmqef-w","/2026/Assessment Information/Assessment Tasks/Assessment Task 3 - Prime Lamb Production Report + Handling Skills/2026 Assessment Task 3 - Prime Lamb Production Report.docx","2026 Assessment Task 3 - Prime Lamb Production Report.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","19679","2026-01-28T00:57:24.000Z","1x2hC7XSPgdY_SvLz_4JhT53jP7UDQnxb","https://docs.google.com/document/d/1rh8Tedl_c2XQ3-aw0KqpOBCWfmmqef-w/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1VNp-zwye57G5lHTWmuCELbzUnZWb80U3-Sl4OKU_gw0","/2026/Assessment Information/Year 10 Assessment Schedule 2026","Year 10 Assessment Schedule 2026","file","application/vnd.google-apps.document","11555","2026-01-28T00:23:00.141Z","1nllzQ1SskJYKo1Qj5uviGaz1fkySjR2y","https://docs.google.com/document/d/1VNp-zwye57G5lHTWmuCELbzUnZWb80U3-Sl4OKU_gw0/edit?usp=drivesdk","content_read"
"1jpZY3Mw36FdCHmQvwpwXPMqyl-MnPRn93RsoYbEQVyo","/2026/Assessment Information/Year 10 Scope & Sequence 2026","Year 10 Scope & Sequence 2026","file","application/vnd.google-apps.document","3628","2026-01-28T00:21:52.007Z","1nllzQ1SskJYKo1Qj5uviGaz1fkySjR2y","https://docs.google.com/document/d/1jpZY3Mw36FdCHmQvwpwXPMqyl-MnPRn93RsoYbEQVyo/edit?usp=drivesdk","content_read"
"1fsDGq71FrHfnko_g3rlhUjQL4-1Y1EVn","/2026/Teaching and Learning Programs","Teaching and Learning Programs","folder","application/vnd.google-apps.folder","","2026-01-28T00:16:00.008Z","1J3WBZpddqQRSbtAyL3Xyu-tqAvhCLjjE","https://drive.google.com/drive/folders/1fsDGq71FrHfnko_g3rlhUjQL4-1Y1EVn","listed"
"1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management","1. Agricultural Systems & Management","folder","application/vnd.google-apps.folder","","2026-01-28T00:58:22.570Z","1fsDGq71FrHfnko_g3rlhUjQL4-1Y1EVn","https://drive.google.com/drive/folders/1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","listed"
"15QlW1O-oMGOPgieybM8A2YMJ4I9GyDDvBCMkwLMVQaY","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/🧠 YEAR 10 AGRICULTURE – TOPIC TEST SUMMARY","🧠 YEAR 10 AGRICULTURE – TOPIC TEST SUMMARY","file","application/vnd.google-apps.document","12727","2026-03-25T21:31:39.085Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/document/d/15QlW1O-oMGOPgieybM8A2YMJ4I9GyDDvBCMkwLMVQaY/edit?usp=drivesdk","content_read"
"1h_fQ2AVVYzK7OEgurvgoq_Mudoq9EpS4","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/0.1 Agricultural Systems & Management Program.docx","0.1 Agricultural Systems & Management Program.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","25761","2026-01-28T01:02:16.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/document/d/1h_fQ2AVVYzK7OEgurvgoq_Mudoq9EpS4/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1HJVdakqjosVGqXNZV5cPJmYIxotMhfFy","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/1.1 Agriculture in Australia.pptx","1.1 Agriculture in Australia.pptx","file","application/vnd.openxmlformats-officedocument.presentationml.presentation","2397165","2026-01-28T01:02:27.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/presentation/d/1HJVdakqjosVGqXNZV5cPJmYIxotMhfFy/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
"1S5R-ey62D8Rfnwpy1noCeKAa6ggUPPGz","/2026/Teaching and Learning Programs/1. Agricultural Systems & Management/1.2 Agriculture in Australia.docx","1.2 Agriculture in Australia.docx","file","application/vnd.openxmlformats-officedocument.wordprocessingml.document","1933941","2026-01-28T01:02:29.000Z","1ewez6nVoE5wAIltXtFAnDKmLP-LimWh6","https://docs.google.com/document/d/1S5R-ey62D8Rfnwpy1noCeKAa6ggUPPGz/edit?usp=drivesdk&ouid=104901315096849762076&rtpof=true&sd=true","content_read"
